Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,358.48,26,12,180,358.48,26,12,180
1,0.08100993,359.4030812,26.3846052,12.68833146,178.7093785,422.85,52.82,60,90
2,0.157741195,360.3261623,26.7692104,13.37666292,177.418757,450,60,12,0
3,0.230623091,361.2492435,27.15381561,14.06499437,176.1281355,,,,
4,0.300023388,362.1723247,27.53842081,14.75332583,174.8375141,,,,
5,0.366259557,363.0954058,27.92302601,15.44165729,173.5468926,,,,
6,0.429607537,364.018487,28.30763121,16.12998875,172.2562711,,,,
7,0.49030868,364.9415682,28.69223642,16.81832021,170.9656496,,,,
8,0.548575297,365.8646493,29.07684162,17.50665166,169.6750281,,,,
9,0.604595141,366.7877305,29.46144682,18.19498312,168.3844066,,,,
10,0.65853505,367.7108117,29.84605202,18.88331458,167.0937852,,,,
11,0.710543944,368.6338928,30.23065722,19.57164604,165.8031637,,,,
12,0.760755305,369.556974,30.61526243,20.2599775,164.5125422,,,,
13,0.809289233,370.4800552,30.99986763,20.94830895,163.2219207,,,,
14,0.856254182,371.4031363,31.38447283,21.63664041,161.9312992,,,,
15,0.901748419,372.3262175,31.76907803,22.32497187,160.6406777,,,,
16,0.945861257,373.2492987,32.15368323,23.01330333,159.3500563,,,,
17,0.988674115,374.1723798,32.53828844,23.70163479,158.0594348,,,,
18,1.030261418,375.095461,32.92289364,24.38996624,156.7688133,,,,
19,1.07069138,376.0185421,33.30749884,25.0782977,155.4781918,,,,
20,1.110026671,376.9416233,33.69210404,25.76662916,154.1875703,,,,
21,1.148325007,377.8647045,34.07670925,26.45496062,152.8969488,,,,
22,1.185639656,378.7877856,34.46131445,27.14329208,151.6063274,,,,
23,1.222019885,379.7108668,34.84591965,27.83162353,150.3157059,,,,
24,1.257511348,380.633948,35.23052485,28.51995499,149.0250844,,,,
25,1.292156436,381.5570291,35.61513005,29.20828645,147.7344629,,,,
26,1.325994576,382.4801103,35.99973526,29.89661791,146.4438414,,,,
27,1.359062502,383.4031915,36.38434046,30.58494937,145.1532199,,,,
28,1.391394497,384.3262726,36.76894566,31.27328082,143.8625985,,,,
29,1.423022605,385.2493538,37.15355086,31.96161228,142.571977,,,,
30,1.45397682,386.172435,37.53815607,32.64994374,141.2813555,,,,
31,1.48428526,387.0955161,37.92276127,33.3382752,139.990734,,,,
32,1.51397432,388.0185973,38.30736647,34.02660666,138.7001125,,,,
33,1.543068807,388.9416785,38.69197167,34.71493811,137.409491,,,,
34,1.571592069,389.8647596,39.07657687,35.40326957,136.1188696,,,,
35,1.599566104,390.7878408,39.46118208,36.09160103,134.8282481,,,,
36,1.627011663,391.710922,39.84578728,36.77993249,133.5376266,,,,
37,1.653948344,392.6340031,40.23039248,37.46826395,132.2470051,,,,
38,1.680394675,393.5570843,40.61499768,38.15659541,130.9563836,,,,
39,1.706368187,394.4801655,40.99960288,38.84492686,129.6657621,,,,
40,1.731885491,395.4032466,41.38420809,39.53325832,128.3751406,,,,
41,1.756962337,396.3263278,41.76881329,40.22158978,127.0845192,,,,
42,1.781613671,397.249409,42.15341849,40.90992124,125.7938977,,,,
43,1.805853694,398.1724901,42.53802369,41.5982527,124.5032762,,,,
44,1.829695905,399.0955713,42.9226289,42.28658415,123.2126547,,,,
45,1.853153151,400.0186525,43.3072341,42.97491561,121.9220332,,,,
46,1.876237667,400.9417336,43.6918393,43.66324707,120.6314117,,,,
47,1.898961111,401.8648148,44.0764445,44.35157853,119.3407903,,,,
48,1.921334606,402.787896,44.4610497,45.03990999,118.0501688,,,,
49,1.943368766,403.7109771,44.84565491,45.72824144,116.7595473,,,,
50,1.965073732,404.6340583,45.23026011,46.4165729,115.4689258,,,,
51,1.986459194,405.5571395,45.61486531,47.10490436,114.1783043,,,,
52,2.007534422,406.4802206,45.99947051,47.79323582,112.8876828,,,,
53,2.02830829,407.4033018,46.38407572,48.48156728,111.5970614,,,,
54,2.048789293,408.3263829,46.76868092,49.16989873,110.3064399,,,,
55,2.068985575,409.2494641,47.15328612,49.85823019,109.0158184,,,,
56,2.088904943,410.1725453,47.53789132,50.54656165,107.7251969,,,,
57,2.108554888,411.0956264,47.92249652,51.23489311,106.4345754,,,,
58,2.127942601,412.0187076,48.30710173,51.92322457,105.1439539,,,,
59,2.147074989,412.9417888,48.69170693,52.61155602,103.8533325,,,,
60,2.16595869,413.8648699,49.07631213,53.29988748,102.562711,,,,
61,2.184600085,414.7879511,49.46091733,53.98821894,101.2720895,,,,
62,2.203005315,415.7110323,49.84552253,54.6765504,99.981468,,,,
63,2.221180287,416.6341134,50.23012774,55.36488186,98.69084652,,,,
64,2.239130693,417.5571946,50.61473294,56.05321331,97.40022504,,,,
65,2.256862013,418.4802758,50.99933814,56.74154477,96.10960355,,,,
66,2.274379532,419.4033569,51.38394334,57.42987623,94.81898207,,,,
67,2.291688343,420.3264381,51.76854855,58.11820769,93.52836059,,,,
68,2.308793362,421.2495193,52.15315375,58.80653915,92.2377391,,,,
69,2.325699331,422.1726004,52.53775895,59.4948706,90.94711762,,,,
69.86555006,2.340186147,422.9771563,52.85692468,60,90,,,,
70.73110011,2.354820421,423.7921687,53.14835506,58.29080258,86.79525484,,,,
71.73920625,2.372372176,424.7835296,53.33133489,56.58160517,83.59050969,,,,
72.73920625,2.390316797,425.7502944,53.58700234,54.87240775,80.38576453,,,,
73.73920625,2.40882921,426.7170592,53.84266979,53.16321033,77.18101938,,,,
74.73920625,2.427946521,427.6838239,54.09833723,51.45401292,73.97627422,,,,
75.73920625,2.447709595,428.6505887,54.35400468,49.7448155,70.77152907,,,,
76.73920625,2.468163585,429.6173535,54.60967213,48.03561808,67.56678391,,,,
77.73920625,2.489358549,430.5841183,54.86533957,46.32642067,64.36203875,,,,
78.73920625,2.511350191,431.5508831,55.12100702,44.61722325,61.1572936,,,,
79.73920625,2.53420074,432.5176479,55.37667447,42.90802584,57.95254844,,,,
80.73920625,2.557980014,433.4844127,55.63234192,41.19882842,54.74780329,,,,
81.73920625,2.582766707,434.4511775,55.88800936,39.489631,51.54305813,,,,
82.73920625,2.608649951,435.4179423,56.14367681,37.78043359,48.33831297,,,,
83.73920625,2.635731262,436.384707,56.39934426,36.07123617,45.13356782,,,,
84.73920625,2.664126931,437.3514718,56.6550117,34.36203875,41.92882266,,,,
85.73920625,2.69397105,438.3182366,56.91067915,32.65284134,38.72407751,,,,
86.73920625,2.725419328,439.2850014,57.1663466,30.94364392,35.51933235,,,,
87.73920625,2.758654015,440.2517662,57.42201404,29.2344465,32.3145872,,,,
88.73920625,2.793890286,441.218531,57.67768149,27.52524909,29.10984204,,,,
89.73920625,2.831384685,442.1852958,57.93334894,25.81605167,25.90509688,,,,
90.73920625,2.871446455,443.1520606,58.18901638,24.10685425,22.70035173,,,,
91.73920625,2.914453036,444.1188254,58.44468383,22.39765684,19.49560657,,,,
92.73920625,2.960871701,445.0855901,58.70035128,20.68845942,16.29086142,,,,
93.73920625,3.011290528,446.0523549,58.95601872,18.97926201,13.08611626,,,,
94.73920625,3.066463967,447.0191197,59.21168617,17.27006459,9.881371105,,,,
95.73920625,3.127382129,447.9858845,59.46735362,15.56086717,6.676625949,,,,
96.73920625,3.195380343,448.9526493,59.72302107,13.85166976,3.471880793,,,,
97.73920625,3.272320755,449.9194141,59.97868851,12.14247234,0.267135637,,,,
97.82256253,3.279226119,450,60,12,0,,,,
