Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,360,296,24,180,360,296,24,180
1,0.041180664,361,296,24.56648308,180,423.55,296,60,180
2,0.081422558,362,296,25.13296617,180,508,150,144,0
3,0.120767531,363,296,25.69944925,180,510,94,0,0
4,0.159254692,364,296,26.26593234,180,,,,
5,0.196920647,365,296,26.83241542,180,,,,
6,0.233799709,366,296,27.39889851,180,,,,
7,0.269924084,367,296,27.96538159,180,,,,
8,0.30532404,368,296,28.53186467,180,,,,
9,0.340028059,369,296,29.09834776,180,,,,
10,0.374062977,370,296,29.66483084,180,,,,
11,0.407454108,371,296,30.23131393,180,,,,
12,0.440225354,372,296,30.79779701,180,,,,
13,0.472399311,373,296,31.36428009,180,,,,
14,0.503997362,374,296,31.93076318,180,,,,
15,0.535039761,375,296,32.49724626,180,,,,
16,0.565545714,376,296,33.06372935,180,,,,
17,0.595533445,377,296,33.63021243,180,,,,
18,0.625020268,378,296,34.19669552,180,,,,
19,0.654022641,379,296,34.7631786,180,,,,
20,0.682556225,380,296,35.32966168,180,,,,
21,0.710635936,381,296,35.89614477,180,,,,
22,0.738275984,382,296,36.46262785,180,,,,
23,0.765489927,383,296,37.02911094,180,,,,
24,0.792290703,384,296,37.59559402,180,,,,
25,0.81869067,385,296,38.1620771,180,,,,
26,0.844701639,386,296,38.72856019,180,,,,
27,0.870334908,387,296,39.29504327,180,,,,
28,0.895601289,388,296,39.86152636,180,,,,
29,0.920511135,389,296,40.42800944,180,,,,
30,0.945074369,390,296,40.99449253,180,,,,
31,0.969300505,391,296,41.56097561,180,,,,
32,0.99319867,392,296,42.12745869,180,,,,
33,1.016777625,393,296,42.69394178,180,,,,
34,1.040045786,394,296,43.26042486,180,,,,
35,1.063011238,395,296,43.82690795,180,,,,
36,1.085681758,396,296,44.39339103,180,,,,
37,1.108064823,397,296,44.95987411,180,,,,
38,1.130167634,398,296,45.5263572,180,,,,
39,1.15199712,399,296,46.09284028,180,,,,
40,1.173559959,400,296,46.65932337,180,,,,
40.89205688,1.192563115,400.8920049,295.9903738,47.22580645,180,,,,
41.78411376,1.211339683,401.7835944,295.9614997,47.79228954,180,,,,
42.67617064,1.229895004,402.6743531,295.9133911,48.35877262,180,,,,
43.56822753,1.248234229,403.5638661,295.8460705,48.9252557,180,,,,
44.46028441,1.266362336,404.4517191,295.7595692,49.49173879,180,,,,
45.35234129,1.284284129,405.3374986,295.6539275,50.05822187,180,,,,
46.24439817,1.302004251,406.220792,295.5291946,50.62470496,180,,,,
47.13645505,1.319527191,407.1011878,295.3854286,51.19118804,180,,,,
48.02851193,1.336857288,407.9782761,295.2226965,51.75767113,180,,,,
48.92056882,1.353998742,408.8516481,295.041074,52.32415421,180,,,,
49.8126257,1.370955614,409.7208972,294.8406458,52.89063729,180,,,,
50.70468258,1.387731837,410.5856185,294.6215052,53.45712038,180,,,,
51.59673946,1.404331221,411.4454092,294.3837543,54.02360346,180,,,,
