Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,387,295,24,205,387,295,24,205
1,0.040828865,388,295,24.98495212,204.3160055,423.55,295,60,180
2,0.080079295,389,295,25.96990424,203.6320109,508,150,144,0
3,0.11786879,390,295,26.95485636,202.9480164,510,125,0,0
4,0.154302203,391,295,27.93980848,202.2640219,,,,
5,0.189473489,392,295,28.9247606,201.5800274,,,,
6,0.223467164,393,295,29.90971272,200.8960328,,,,
7,0.256359533,394,295,30.89466484,200.2120383,,,,
8,0.288219714,395,295,31.87961696,199.5280438,,,,
9,0.319110519,396,295,32.86456908,198.8440492,,,,
10,0.349089193,397,295,33.8495212,198.1600547,,,,
11,0.378208059,398,295,34.83447332,197.4760602,,,,
12,0.40651506,399,295,35.81942544,196.7920657,,,,
13,0.43405424,400,295,36.80437756,196.1080711,,,,
14,0.460866154,401,295,37.78932969,195.4240766,,,,
15,0.486988223,402,295,38.77428181,194.7400821,,,,
16,0.512455057,403,295,39.75923393,194.0560876,,,,
17,0.537298722,404,295,40.74418605,193.372093,,,,
18,0.561548988,405,295,41.72913817,192.6880985,,,,
18.8886757,0.582596873,405.8885946,294.987996,42.71409029,192.004104,,,,
19.7773514,0.603164944,406.7765407,294.9519927,43.69904241,191.3201094,,,,
20.66602711,0.623274588,407.6631902,294.8920164,44.68399453,190.6361149,,,,
21.55470281,0.642945795,408.547896,294.8081108,45.66894665,189.9521204,,,,
22.44337851,0.662197274,409.4300124,294.7003373,46.65389877,189.2681259,,,,
23.33205421,0.681046565,410.3088957,294.5687745,47.63885089,188.5841313,,,,
24.22072992,0.699510126,411.1839043,294.4135183,48.62380301,187.9001368,,,,
25.10940562,0.717603429,412.0543996,294.2346821,49.60875513,187.2161423,,,,
25.99808132,0.735341031,412.9197463,294.0323964,50.59370725,186.5321477,,,,
26.88675702,0.752736648,413.779313,293.8068089,51.57865937,185.8481532,,,,
27.77543273,0.769803219,414.6324721,293.5580842,52.56361149,185.1641587,,,,
28.66410843,0.786552959,415.4786011,293.2864038,53.54856361,184.4801642,,,,
29.55278413,0.802997419,416.3170824,292.991966,54.53351573,183.7961696,,,,
30.44145983,0.819147527,417.1473041,292.6749858,55.51846785,183.1121751,,,,
31.33013554,0.835013635,417.9686602,292.3356943,56.50341997,182.4281806,,,,
32.21881124,0.850605559,418.7805512,291.9743394,57.48837209,181.744186,,,,
33.10748694,0.865932615,419.5823847,291.5911846,58.47332421,181.0601915,,,,
33.99616264,0.881003651,420.3735754,291.1865097,59.45827633,180.376197,,,,
34.88483834,0.89588208,421.1535459,290.7606099,60,180,,,,
35.77351405,0.910631811,421.9217268,290.3137962,60.50059628,181.0727063,,,,
36.66218975,0.925260002,422.6775577,289.8463947,61.00119256,182.1454126,,,,
37.55086545,0.93976864,423.4204868,289.3587464,61.50178884,183.2181189,,,,
38.43954115,0.954159663,424.1499719,288.8512072,62.00238512,184.2908253,,,,
39.32821686,0.968434963,424.8654806,288.3241477,62.5029814,185.3635316,,,,
40.21689256,0.982596385,425.5664907,287.7779524,63.00357769,186.4362379,,,,
41.10556826,0.996645733,426.2524906,287.21302,63.50417397,187.5089442,,,,
41.99424396,1.010584766,426.9229797,286.6297627,64.00477025,188.5816505,,,,
42.88291967,1.024415204,427.5774684,286.0286064,64.50536653,189.6543568,,,,
43.77159537,1.038138724,428.2154793,285.4099897,65.00596281,190.7270632,,,,
44.66027107,1.051756969,428.8365466,284.7743641,65.50655909,191.7997695,,,,
45.54894677,1.065271539,429.4402171,284.1221936,66.00715537,192.8724758,,,,
46.43762248,1.078684003,430.0260502,283.453954,66.50775165,193.9451821,,,,
47.32629818,1.091995892,430.5936183,282.7701331,67.00834793,195.0178884,,,,
48.21497388,1.105208701,431.1425072,282.0712301,67.50894421,196.0905947,,,,
49.22321721,1.120088492,431.6024487,281.1740075,68.00954049,197.1633011,,,,
50.22321721,1.134738395,432.1057268,280.3098829,68.51013678,198.2360074,,,,
51.22321721,1.149281642,432.6090048,279.4457584,69.01073306,199.3087137,,,,
52.22321721,1.163719775,433.1122829,278.5816339,69.51132934,200.38142,,,,
53.22321721,1.178054303,433.6155609,277.7175093,70.01192562,201.4541263,,,,
54.22321721,1.192286702,434.118839,276.8533848,70.5125219,202.5268326,,,,
55.22321721,1.206418417,434.622117,275.9892603,71.01311818,203.599539,,,,
56.22321721,1.220450862,435.1253951,275.1251358,71.51371446,204.6722453,,,,
57.22321721,1.234385423,435.6286731,274.2610112,72.01431074,205.7449516,,,,
58.22321721,1.248223456,436.1319512,273.3968867,72.51490702,206.8176579,,,,
59.22321721,1.261966288,436.6352292,272.5327622,73.0155033,207.8903642,,,,
60.22321721,1.275615221,437.1385073,271.6686376,73.51609958,208.9630705,,,,
61.22321721,1.289171529,437.6417853,270.8045131,74.01669587,210.0357769,,,,
62.22321721,1.30263646,438.1450634,269.9403886,74.51729215,211.1084832,,,,
63.22321721,1.316011239,438.6483414,269.076264,75.01788843,212.1811895,,,,
64.22321721,1.329297065,439.1516194,268.2121395,75.51848471,213.2538958,,,,
65.22321721,1.342495112,439.6548975,267.348015,76.01908099,214.3266021,,,,
66.22321721,1.355606534,440.1581755,266.4838904,76.51967727,215.3993084,,,,
67.22321721,1.36863246,440.6614536,265.6197659,77.02027355,216.4720148,,,,
68.22321721,1.381573997,441.1647316,264.7556414,77.52086983,217.5447211,,,,
69.22321721,1.394432233,441.6680097,263.8915168,78.02146611,218.6174274,,,,
70.22321721,1.407208232,442.1712877,263.0273923,78.52206239,219.6901337,,,,
71.22321721,1.41990304,442.6745658,262.1632678,79.02265867,220.76284,,,,
72.22321721,1.432517683,443.1778438,261.2991432,79.52325496,221.8355463,,,,
73.22321721,1.445053166,443.6811219,260.4350187,80.02385124,222.9082526,,,,
74.22321721,1.457510476,444.1843999,259.5708942,80.52444752,223.980959,,,,
75.22321721,1.469890583,444.687678,258.7067696,81.0250438,225.0536653,,,,
76.22321721,1.482194438,445.190956,257.8426451,81.52564008,226.1263716,,,,
77.22321721,1.494422974,445.6942341,256.9785206,82.02623636,227.1990779,,,,
78.22321721,1.506577107,446.1975121,256.114396,82.52683264,228.2717842,,,,
79.22321721,1.518657739,446.7007901,255.2502715,83.02742892,229.3444905,,,,
80.22321721,1.530665751,447.2040682,254.386147,83.5280252,230.4171969,,,,
81.22321721,1.542602013,447.7073462,253.5220224,84.02862148,231.4899032,,,,
82.22321721,1.554467376,448.2106243,252.6578979,84.52921776,232.5626095,,,,
83.22321721,1.566262679,448.7139023,251.7937734,85.02981405,233.6353158,,,,
84.22321721,1.577988742,449.2171804,250.9296488,85.53041033,234.7080221,,,,
85.22321721,1.589646375,449.7204584,250.0655243,86.03100661,235.7807284,,,,
86.22321721,1.601236371,450.2237365,249.2013998,86.53160289,236.8534348,,,,
87.22321721,1.612759511,450.7270145,248.3372752,87.03219917,237.9261411,,,,
88.22321721,1.624216562,451.2302926,247.4731507,87.53279545,238.9988474,,,,
89.22321721,1.635608277,451.7335706,246.6090262,88.03339173,240.0715537,,,,
90.22321721,1.646935398,452.2368487,245.7449016,88.53398801,241.14426,,,,
91.22321721,1.658198652,452.7401267,244.8807771,89.03458429,242.2169663,,,,
92.22321721,1.669398756,453.2434048,244.0166526,89.53518057,243.2896727,,,,
93.22321721,1.680536415,453.7466828,243.152528,90.03577685,244.362379,,,,
94.22321721,1.69161232,454.2499608,242.2884035,90.53637314,245.4350853,,,,
95.22321721,1.702627153,454.7532389,241.424279,91.03696942,246.5077916,,,,
96.22321721,1.713581583,455.2565169,240.5601545,91.5375657,247.5804979,,,,
97.22321721,1.724476269,455.759795,239.6960299,92.03816198,248.6532042,,,,
