Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,480,50,12,180,480,50,12,180
1,0.081160225,479.0964149,49.57159141,12.64261289,180,429.38,26,48,180
2,0.158297391,478.1928298,49.14318281,13.28522578,180,388.33,26,36,180
3,0.231791503,477.2892446,48.71477422,13.92783867,180,315,26,36,180
4,0.301971151,476.3856595,48.28636563,14.57045156,180,,,,
5,0.36912239,475.4820744,47.85795703,15.21306445,180,,,,
6,0.433495773,474.5784893,47.42954844,15.85567734,180,,,,
7,0.495311994,473.6749041,47.00113985,16.49829023,180,,,,
8,0.554766451,472.771319,46.57273125,17.14090312,180,,,,
9,0.612032973,471.8677339,46.14432266,17.78351601,180,,,,
10,0.667266876,470.9641488,45.71591407,18.4261289,180,,,,
11,0.720607505,470.0605636,45.28750547,19.06874179,180,,,,
12,0.772180352,469.1569785,44.85909688,19.71135468,180,,,,
13,0.822098833,468.2533934,44.43068829,20.35396757,180,,,,
14,0.870465785,467.3498083,44.00227969,20.99658046,180,,,,
15,0.91737475,466.4462231,43.5738711,21.63919335,180,,,,
16,0.962911054,465.542638,43.14546251,22.28180624,180,,,,
17,1.007152748,464.6390529,42.71705392,22.92441913,180,,,,
18,1.05017141,463.7354678,42.28864532,23.56703202,180,,,,
19,1.09203284,462.8318826,41.86023673,24.20964491,180,,,,
20,1.132797667,461.9282975,41.43182814,24.8522578,180,,,,
21,1.172521879,461.0247124,41.00341954,25.49487069,180,,,,
22,1.211257281,460.1211273,40.57501095,26.13748358,180,,,,
23,1.249051904,459.2175421,40.14660236,26.78009647,180,,,,
24,1.285950363,458.313957,39.71819376,27.42270936,180,,,,
25,1.321994172,457.4103719,39.28978517,28.06532225,180,,,,
26,1.357222025,456.5067868,38.86137658,28.70793514,180,,,,
27,1.391670049,455.6032016,38.43296798,29.35054803,180,,,,
28,1.425372021,454.6996165,38.00455939,29.99316092,180,,,,
29,1.458359571,453.7960314,37.5761508,30.6357738,180,,,,
30,1.490662358,452.8924463,37.1477422,31.27838669,180,,,,
31,1.522308235,451.9888611,36.71933361,31.92099958,180,,,,
32,1.553323387,451.085276,36.29092502,32.56361247,180,,,,
33,1.583732463,450.1816909,35.86251642,33.20622536,180,,,,
34,1.613558696,449.2781058,35.43410783,33.84883825,180,,,,
35,1.64282401,448.3745206,35.00569924,34.49145114,180,,,,
36,1.671549112,447.4709355,34.57729064,35.13406403,180,,,,
37,1.699753584,446.5673504,34.14888205,35.77667692,180,,,,
38,1.727455962,445.6637653,33.72047346,36.41928981,180,,,,
39,1.754673811,444.7601801,33.29206486,37.0619027,180,,,,
40,1.781423789,443.856595,32.86365627,37.70451559,180,,,,
41,1.807721708,442.9530099,32.43524768,38.34712848,180,,,,
42,1.833582594,442.0494248,32.00683908,38.98974137,180,,,,
43,1.859020736,441.1458396,31.57843049,39.63235426,180,,,,
44,1.884049731,440.2422545,31.1500219,40.27496715,180,,,,
45,1.908682534,439.3386694,30.72161331,40.91758004,180,,,,
46,1.932931492,438.4350843,30.29320471,41.56019293,180,,,,
47,1.956808383,437.5314991,29.86479612,42.20280582,180,,,,
48,1.980324453,436.627914,29.43638753,42.84541871,180,,,,
49,2.003490444,435.7243289,29.00797893,43.4880316,180,,,,
49.90216792,2.024083495,434.9042937,28.63188167,44.13064449,180,,,,
50.80433584,2.044378845,434.0749577,28.27676368,44.77325738,180,,,,
51.70650376,2.06438498,433.2368576,27.94285475,45.41587027,180,,,,
52.60867168,2.084110026,432.3905356,27.63037093,46.05848316,180,,,,
53.5108396,2.103561773,431.5365395,27.33951441,46.70109605,180,,,,
