Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,509.2,26,12,180,509.2,26,12,180
1,0.082295989,508.2,26,12.30252101,180,390.2,26,48,180
2,0.162592885,507.2,26,12.60504202,180,358.48,26,12,180
3,0.240985507,506.2,26,12.90756303,180,,,,
4,0.317562083,505.2,26,13.21008403,180,,,,
5,0.392404851,504.2,26,13.51260504,180,,,,
6,0.465590583,503.2,26,13.81512605,180,,,,
7,0.537191064,502.2,26,14.11764706,180,,,,
8,0.607273514,501.2,26,14.42016807,180,,,,
9,0.675900965,500.2,26,14.72268908,180,,,,
10,0.743132603,499.2,26,15.02521008,180,,,,
11,0.809024076,498.2,26,15.32773109,180,,,,
12,0.873627768,497.2,26,15.6302521,180,,,,
13,0.93699305,496.2,26,15.93277311,180,,,,
14,0.999166509,495.2,26,16.23529412,180,,,,
15,1.06019215,494.2,26,16.53781513,180,,,,
16,1.120111586,493.2,26,16.84033613,180,,,,
17,1.178964207,492.2,26,17.14285714,180,,,,
18,1.236787336,491.2,26,17.44537815,180,,,,
19,1.293616372,490.2,26,17.74789916,180,,,,
20,1.349484916,489.2,26,18.05042017,180,,,,
21,1.404424898,488.2,26,18.35294118,180,,,,
22,1.458466678,487.2,26,18.65546218,180,,,,
23,1.511639153,486.2,26,18.95798319,180,,,,
24,1.563969848,485.2,26,19.2605042,180,,,,
25,1.615485,484.2,26,19.56302521,180,,,,
26,1.666209637,483.2,26,19.86554622,180,,,,
27,1.716167656,482.2,26,20.16806723,180,,,,
28,1.765381882,481.2,26,20.47058824,180,,,,
29,1.81387414,480.2,26,20.77310924,180,,,,
30,1.861665305,479.2,26,21.07563025,180,,,,
31,1.90877536,478.2,26,21.37815126,180,,,,
32,1.955223448,477.2,26,21.68067227,180,,,,
33,2.001027912,476.2,26,21.98319328,180,,,,
34,2.046206348,475.2,26,22.28571429,180,,,,
35,2.090775637,474.2,26,22.58823529,180,,,,
36,2.134751986,473.2,26,22.8907563,180,,,,
37,2.178150964,472.2,26,23.19327731,180,,,,
38,2.220987537,471.2,26,23.49579832,180,,,,
39,2.263276095,470.2,26,23.79831933,180,,,,
40,2.305030481,469.2,26,24.10084034,180,,,,
41,2.346264022,468.2,26,24.40336134,180,,,,
42,2.386989552,467.2,26,24.70588235,180,,,,
43,2.427219437,466.2,26,25.00840336,180,,,,
44,2.466965596,465.2,26,25.31092437,180,,,,
45,2.506239524,464.2,26,25.61344538,180,,,,
46,2.545052309,463.2,26,25.91596639,180,,,,
47,2.583414656,462.2,26,26.21848739,180,,,,
48,2.6213369,461.2,26,26.5210084,180,,,,
49,2.658829023,460.2,26,26.82352941,180,,,,
50,2.695900674,459.2,26,27.12605042,180,,,,
51,2.732561179,458.2,26,27.42857143,180,,,,
52,2.768819558,457.2,26,27.73109244,180,,,,
53,2.804684537,456.2,26,28.03361345,180,,,,
54,2.840164561,455.2,26,28.33613445,180,,,,
55,2.875267806,454.2,26,28.63865546,180,,,,
56,2.91000219,453.2,26,28.94117647,180,,,,
57,2.944375385,452.2,26,29.24369748,180,,,,
58,2.978394824,451.2,26,29.54621849,180,,,,
59,3.012067716,450.2,26,29.8487395,180,,,,
60,3.04540105,449.2,26,30.1512605,180,,,,
61,3.078401604,448.2,26,30.45378151,180,,,,
62,3.111075959,447.2,26,30.75630252,180,,,,
63,3.1434305,446.2,26,31.05882353,180,,,,
64,3.175471426,445.2,26,31.36134454,180,,,,
65,3.207204759,444.2,26,31.66386555,180,,,,
66,3.238636349,443.2,26,31.96638655,180,,,,
67,3.26977188,442.2,26,32.26890756,180,,,,
68,3.300616878,441.2,26,32.57142857,180,,,,
69,3.331176713,440.2,26,32.87394958,180,,,,
70,3.361456612,439.2,26,33.17647059,180,,,,
71,3.391461655,438.2,26,33.4789916,180,,,,
72,3.421196787,437.2,26,33.78151261,180,,,,
73,3.450666822,436.2,26,34.08403361,180,,,,
74,3.479876444,435.2,26,34.38655462,180,,,,
75,3.508830215,434.2,26,34.68907563,180,,,,
76,3.537532579,433.2,26,34.99159664,180,,,,
77,3.565987863,432.2,26,35.29411765,180,,,,
78,3.594200286,431.2,26,35.59663866,180,,,,
79,3.622173958,430.2,26,35.89915966,180,,,,
80,3.649912886,429.2,26,36.20168067,180,,,,
81,3.677420976,428.2,26,36.50420168,180,,,,
82,3.70470204,427.2,26,36.80672269,180,,,,
83,3.731759794,426.2,26,37.1092437,180,,,,
84,3.758597863,425.2,26,37.41176471,180,,,,
85,3.785219787,424.2,26,37.71428571,180,,,,
86,3.811629019,423.2,26,38.01680672,180,,,,
87,3.837828931,422.2,26,38.31932773,180,,,,
