Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg)
0,0,509.82,297,12,180,509.82,297,12,180
1,0.078339326,508.82,297,13.52996175,180,486.29,297,48,180
2,0.148294136,507.82,297,15.0599235,180,429.55,297,72,180
3,0.211485672,506.82,297,16.58988525,180,406,297,24,180
4,0.269106398,505.82,297,18.119847,180,378,297,18,180
5,0.322058959,504.82,297,19.64980875,180,,,,
6,0.371043055,503.82,297,21.17977051,180,,,,
7,0.416612037,502.82,297,22.70973226,180,,,,
8,0.459211067,501.82,297,24.23969401,180,,,,
9,0.499203589,500.82,297,25.76965576,180,,,,
10,0.53689018,499.82,297,27.29961751,180,,,,
11,0.572522259,498.82,297,28.82957926,180,,,,
12,0.606312253,497.82,297,30.35954101,180,,,,
13,0.63844126,496.82,297,31.88950276,180,,,,
14,0.669064926,495.82,297,33.41946451,180,,,,
15,0.698317997,494.82,297,34.94942626,180,,,,
16,0.726317902,493.82,297,36.47938802,180,,,,
17,0.753167599,492.82,297,38.00934977,180,,,,
18,0.778957857,491.82,297,39.53931152,180,,,,
19,0.80376911,490.82,297,41.06927327,180,,,,
20,0.827672966,489.82,297,42.59923502,180,,,,
21,0.850733455,488.82,297,44.12919677,180,,,,
22,0.873008058,487.82,297,45.65915852,180,,,,
23,0.894548576,486.82,297,47.18912027,180,,,,
23.53,0.905684302,486.29,297,48,180,,,,
24.53,0.926426245,485.29,297,48.42298202,180,,,,
25.53,0.946987792,484.29,297,48.84596405,180,,,,
26.53,0.967372054,483.29,297,49.26894607,180,,,,
27.53,0.987582061,482.29,297,49.69192809,180,,,,
28.53,1.007620768,481.29,297,50.11491012,180,,,,
29.53,1.027491055,480.29,297,50.53789214,180,,,,
30.53,1.047195728,479.29,297,50.96087416,180,,,,
31.53,1.066737525,478.29,297,51.38385619,180,,,,
32.53,1.086119118,477.29,297,51.80683821,180,,,,
33.53,1.105343111,476.29,297,52.22982023,180,,,,
34.53,1.124412047,475.29,297,52.65280226,180,,,,
35.53,1.143328407,474.29,297,53.07578428,180,,,,
36.53,1.162094613,473.29,297,53.4987663,180,,,,
37.53,1.180713031,472.29,297,53.92174833,180,,,,
38.53,1.199185969,471.29,297,54.34473035,180,,,,
39.53,1.217515684,470.29,297,54.76771237,180,,,,
40.53,1.23570438,469.29,297,55.1906944,180,,,,
41.53,1.253754209,468.29,297,55.61367642,180,,,,
42.53,1.271667277,467.29,297,56.03665844,180,,,,
43.53,1.28944564,466.29,297,56.45964047,180,,,,
44.53,1.307091308,465.29,297,56.88262249,180,,,,
45.53,1.324606249,464.29,297,57.30560451,180,,,,
46.53,1.341992384,463.29,297,57.72858654,180,,,,
47.53,1.359251595,462.29,297,58.15156856,180,,,,
48.53,1.37638572,461.29,297,58.57455058,180,,,,
49.53,1.393396561,460.29,297,58.9975326,180,,,,
50.53,1.410285879,459.29,297,59.42051463,180,,,,
51.53,1.427055397,458.29,297,59.84349665,180,,,,
52.53,1.443706803,457.29,297,60.26647867,180,,,,
53.53,1.46024175,456.29,297,60.6894607,180,,,,
54.53,1.476661854,455.29,297,61.11244272,180,,,,
55.53,1.492968701,454.29,297,61.53542474,180,,,,
56.53,1.509163842,453.29,297,61.95840677,180,,,,
57.53,1.525248797,452.29,297,62.38138879,180,,,,
58.53,1.541225055,451.29,297,62.80437081,180,,,,
59.53,1.557094076,450.29,297,63.22735284,180,,,,
60.53,1.572857288,449.29,297,63.65033486,180,,,,
61.53,1.588516095,448.29,297,64.07331688,180,,,,
62.53,1.60407187,447.29,297,64.49629891,180,,,,
63.53,1.61952596,446.29,297,64.91928093,180,,,,
64.53,1.634879686,445.29,297,65.34226295,180,,,,
65.53,1.650134342,444.29,297,65.76524498,180,,,,
66.53,1.6652912,443.29,297,66.188227,180,,,,
67.53,1.680351505,442.29,297,66.61120902,180,,,,
68.53,1.695316479,441.29,297,67.03419105,180,,,,
69.53,1.710187323,440.29,297,67.45717307,180,,,,
70.53,1.724965211,439.29,297,67.88015509,180,,,,
71.53,1.739651301,438.29,297,68.30313712,180,,,,
72.53,1.754246724,437.29,297,68.72611914,180,,,,
73.53,1.768752594,436.29,297,69.14910116,180,,,,
74.53,1.783170003,435.29,297,69.57208319,180,,,,
75.53,1.797500022,434.29,297,69.99506521,180,,,,
76.53,1.811743706,433.29,297,70.41804723,180,,,,
77.53,1.825902089,432.29,297,70.84102926,180,,,,
78.53,1.839976185,431.29,297,71.26401128,180,,,,
79.53,1.853966992,430.29,297,71.6869933,180,,,,
80.27,1.864267159,429.55,297,72,180,,,,
81.27,1.878355458,428.55,297,69.96178344,180,,,,
82.27,1.892860262,427.55,297,67.92356688,180,,,,
83.27,1.907806949,426.55,297,65.88535032,180,,,,
84.27,1.923223288,425.55,297,63.84713376,180,,,,
85.27,1.939139752,424.55,297,61.8089172,180,,,,
86.27,1.955589878,423.55,297,59.77070064,180,,,,
87.27,1.972610693,422.55,297,57.73248408,180,,,,
88.27,1.990243218,421.55,297,55.69426752,180,,,,
89.27,2.008533059,420.55,297,53.65605096,180,,,,
90.27,2.027531123,419.55,297,51.61783439,180,,,,
91.27,2.047294467,418.55,297,49.57961783,180,,,,
92.27,2.067887331,417.55,297,47.54140127,180,,,,
93.27,2.089382403,416.55,297,45.50318471,180,,,,
94.27,2.111862357,415.55,297,43.46496815,180,,,,
95.27,2.13542178,414.55,297,41.42675159,180,,,,
96.27,2.160169574,413.55,297,39.38853503,180,,,,
97.27,2.186231991,412.55,297,37.35031847,180,,,,
98.27,2.213756535,411.55,297,35.31210191,180,,,,
99.27,2.24291701,410.55,297,33.27388535,180,,,,
100.27,2.27392017,409.55,297,31.23566879,180,,,,
101.27,2.307014605,408.55,297,29.19745223,180,,,,
102.27,2.342502851,407.55,297,27.15923567,180,,,,
103.27,2.380758212,406.55,297,25.12101911,180,,,,
103.82,2.403151884,406,297,24,180,,,,
104.82,2.445005396,405,297,23.78571429,180,,,,
105.82,2.487237674,404,297,23.57142857,180,,,,
106.82,2.529855634,403,297,23.35714286,180,,,,
107.82,2.572866387,402,297,23.14285714,180,,,,
108.82,2.61627724,401,297,22.92857143,180,,,,
109.82,2.660095706,400,297,22.71428571,180,,,,
110.82,2.704329513,399,297,22.5,180,,,,
111.82,2.748986611,398,297,22.28571429,180,,,,
112.82,2.794075178,397,297,22.07142857,180,,,,
113.82,2.839603633,396,297,21.85714286,180,,,,
114.82,2.885580644,395,297,21.64285714,180,,,,
115.82,2.932015139,394,297,21.42857143,180,,,,
116.82,2.978916311,393,297,21.21428571,180,,,,
117.82,3.026293638,392,297,21,180,,,,
118.82,3.074156885,391,297,20.78571429,180,,,,
119.82,3.122516126,390,297,20.57142857,180,,,,
120.82,3.171381745,389,297,20.35714286,180,,,,
121.82,3.220764461,388,297,20.14285714,180,,,,
122.82,3.270675335,387,297,19.92857143,180,,,,
123.82,3.321125785,386,297,19.71428571,180,,,,
124.82,3.372127607,385,297,19.5,180,,,,
125.82,3.423692984,384,297,19.28571429,180,,,,
126.82,3.475834511,383,297,19.07142857,180,,,,
127.82,3.528565208,382,297,18.85714286,180,,,,
128.82,3.581898541,381,297,18.64285714,180,,,,
129.82,3.635848445,380,297,18.42857143,180,,,,
130.82,3.690429342,379,297,18.21428571,180,,,,
131.82,3.745656166,378,297,18,180,,,,
